,NAME
0,UNITED STATES
1,NORTHEAST REGION
2,MIDWEST REGION
3,SOUTH REGION
4,WEST REGION
5,ALABAMA
6,ALASKA
7,ARIZONA
8,ARKANSAS
9,CALIFORNIA
10,COLORADO
11,CONNECTICUT
12,DELAWARE
13,DISTRICT OF COLUMBIA
14,FLORIDA
15,GEORGIA
16,HAWAII
17,IDAHO
18,ILLINOIS
19,INDIANA
20,IOWA
21,KANSAS
22,KENTUCKY
23,LOUISIANA
24,MAINE
25,MARYLAND
26,MASSACHUSETTS
27,MICHIGAN
28,MINNESOTA
29,MISSISSIPPI
30,MISSOURI
31,MONTANA
32,NEBRASKA
33,NEVADA
34,NEW HAMPSHIRE
35,NEW JERSEY
36,NEW MEXICO
37,NEW YORK
38,NORTH CAROLINA
39,NORTH DAKOTA
40,OHIO
41,OKLAHOMA
42,OREGON
43,PENNSYLVANIA
44,RHODE ISLAND
45,SOUTH CAROLINA
46,SOUTH DAKOTA
47,TENNESSEE
48,TEXAS
49,UTAH
50,VERMONT
51,VIRGINIA
52,WASHINGTON
53,WEST VIRGINIA
54,WISCONSIN
55,WYOMING
56,PUERTO RICO
