,NAME
0,united states
1,northeast region
2,midwest region
3,south region
4,west region
5,alabama
6,alaska
7,arizona
8,arkansas
9,california
10,colorado
11,connecticut
12,delaware
13,district of columbia
14,florida
15,georgia
16,hawaii
17,idaho
18,illinois
19,indiana
20,iowa
21,kansas
22,kentucky
23,louisiana
24,maine
25,maryland
26,massachusetts
27,michigan
28,minnesota
29,mississippi
30,missouri
31,montana
32,nebraska
33,nevada
34,new hampshire
35,new jersey
36,new mexico
37,new york
38,north carolina
39,north dakota
40,ohio
41,oklahoma
42,oregon
43,pennsylvania
44,rhode island
45,south carolina
46,south dakota
47,tennessee
48,texas
49,utah
50,vermont
51,virginia
52,washington
53,west virginia
54,wisconsin
55,wyoming
56,puerto rico
